Syncmode 0, Channel 6:
2fb eb4c0 eb4bc
2fa eb4bc eb4b8
2f9 eb4b8 eb4b4
2f8 eb4b4 eb4b0
2f7 eb4b0 eb4ac
2f6 eb4ac eb4a8
2f5 eb4a8 eb4a4
2f4 eb4a4 eb4a0
2f3 eb4a0 eb49c
2f2 eb49c eb498
2f1 eb498 eb494
2f0 eb494 eb490
2ef eb490 eb48c
2ee eb48c eb488
2ed eb488 eb484
2ec eb484 eb480
2eb eb480 eb47c
2ea eb47c eb478
2e9 eb478 eb474
2e8 eb474 eb470
2e7 eb470 eb46c
2e6 eb46c eb468
2e5 eb468 eb464
2e4 eb464 eb460
2e3 eb460 eb45c
2e2 eb45c eb458
2e1 eb458 eb454
2e0 eb454 eb450
2df eb450 eb44c
2de eb44c eb448
2dd eb448 eb444
2dc eb444 eb440
2db eb440 eb43c
2da eb43c eb438
2d9 eb438 eb434
2d8 eb434 eb430
2d7 eb430 eb42c
2d6 eb42c eb428
2d5 eb428 eb424
2d4 eb424 eb420
2d3 eb420 eb41c
2d2 eb41c eb418
2d1 eb418 eb414
2d0 eb414 eb410
2cf eb410 eb40c
2ce eb40c eb408
2cd eb408 eb404
2cc eb404 eb400
2cb eb400 eb3fc
2ca eb3fc eb3f8
2c9 eb3f8 eb3f4
2c8 eb3f4 eb3f0
2c7 eb3f0 eb3ec
2c6 eb3ec eb3e8
2c5 eb3e8 eb3e4
2c4 eb3e4 eb3e0
2c3 eb3e0 eb3dc
2c2 eb3dc eb3d8
2c1 eb3d8 eb3d4
2c0 eb3d4 eb3d0
2bf eb3d0 eb3cc
2be eb3cc eb3c8
2bd eb3c8 eb3c4
2bc eb3c4 eb3c0
2bb eb3c0 eb3bc
2ba eb3bc eb3b8
2b9 eb3b8 eb3b4
2b8 eb3b4 eb3b0
2b7 eb3b0 eb3ac
2b6 eb3ac eb3a8
2b5 eb3a8 eb3a4
2b4 eb3a4 eb3a0
2b3 eb3a0 eb39c
2b2 eb39c eb398
2b1 eb398 eb394
2b0 eb394 eb390
2af eb390 eb38c
2ae eb38c eb388
2ad eb388 eb384
2ac eb384 eb380
2ab eb380 eb37c
2aa eb37c eb378
2a9 eb378 eb374
2a8 eb374 eb370
2a7 eb370 eb36c
2a6 eb36c eb368
2a5 eb368 eb364
2a4 eb364 eb360
2a3 eb360 eb35c
2a2 eb35c eb358
2a1 eb358 eb354
2a0 eb354 eb350
29f eb350 eb34c
29e eb34c eb348
29d eb348 eb344
29c eb344 eb340
29b eb340 eb33c
29a eb33c eb338
299 eb338 eb334
298 eb334 eb330
297 eb330 eb32c
296 eb32c eb328
295 eb328 eb324
294 eb324 eb320
293 eb320 eb31c
292 eb31c eb318
291 eb318 eb314
290 eb314 eb310
28f eb310 eb30c
28e eb30c eb308
28d eb308 eb304
28c eb304 eb300
28b eb300 eb2fc
28a eb2fc eb2f8
289 eb2f8 eb2f4
288 eb2f4 eb2f0
287 eb2f0 eb2ec
286 eb2ec eb2e8
285 eb2e8 eb2e4
284 eb2e4 eb2e0
283 eb2e0 eb2dc
282 eb2dc eb2d8
281 eb2d8 eb2d4
280 eb2d4 eb2d0
27f eb2d0 eb2cc
27e eb2cc eb2c8
27d eb2c8 eb2c4
27c eb2c4 eb2c0
27b eb2c0 eb2bc
27a eb2bc eb2b8
279 eb2b8 eb2b4
278 eb2b4 eb2b0
277 eb2b0 eb2ac
276 eb2ac eb2a8
275 eb2a8 eb2a4
274 eb2a4 eb2a0
273 eb2a0 eb29c
272 eb29c eb298
271 eb298 eb294
270 eb294 eb290
26f eb290 eb28c
26e eb28c eb288
26d eb288 eb284
26c eb284 eb280
26b eb280 eb27c
26a eb27c eb278
269 eb278 eb274
268 eb274 eb270
267 eb270 eb26c
266 eb26c eb268
265 eb268 eb264
264 eb264 eb260
263 eb260 eb25c
262 eb25c eb258
261 eb258 eb254
260 eb254 eb250
25f eb250 eb24c
25e eb24c eb248
25d eb248 eb244
25c eb244 eb240
25b eb240 eb23c
25a eb23c eb238
259 eb238 eb234
258 eb234 eb230
257 eb230 eb22c
256 eb22c eb228
255 eb228 eb224
254 eb224 eb220
253 eb220 eb21c
252 eb21c eb218
251 eb218 eb214
250 eb214 eb210
24f eb210 eb20c
24e eb20c eb208
24d eb208 eb204
24c eb204 eb200
24b eb200 eb1fc
24a eb1fc eb1f8
249 eb1f8 eb1f4
248 eb1f4 eb1f0
247 eb1f0 eb1ec
246 eb1ec eb1e8
245 eb1e8 eb1e4
244 eb1e4 eb1e0
243 eb1e0 eb1dc
